ID;Tipo;ID Padre;Título / Descripción;Criterios de Aceptación;Actividades;Responsable;Sprint;Fecha Inicio;Fecha Fin
SCRUM-121;**Epic**;;Gestion de datos;;;;;18/03/2026;8/04/2026
SCRUM-148;Historia;SCRUM-121;Carga de archivo desde UI;"Criterios de Aceptación
CA 1: Procesamiento de formatos estructurados válidos

Dado que el usuario se encuentra en la interfaz de carga de datos

Cuando envía una petición POST al endpoint de ingesta con un archivo de extensión .csv o .json

Entonces el sistema (ms-ingestion) debe aceptar la petición, validar la extensión y comenzar el proceso de lectura y persistencia de los metadatos.

CA 2: Rechazo de formatos no soportados

Dado que el usuario intenta cargar un archivo al sistema

Cuando el archivo tiene una extensión no estructurada (ej. .pdf, .docx, .png, .xlsx)

Entonces el sistema debe rechazar la petición inmediatamente.

Y debe retornar un código de estado HTTP 400 Bad Request con el mensaje: ""Formato no válido. Por favor suba un archivo CSV o JSON.""

CA 3: Cumplimiento del contrato de respuesta de la API

Dado que un archivo válido fue recibido y sus metadatos fueron guardados correctamente en la base de datos

Cuando el microservicio finaliza su ejecución

Entonces debe retornar un código HTTP 200 OK o HTTP 201 Created.

Y el cuerpo de la respuesta debe cumplir estrictamente con el esquema StandardResponse, incluyendo: success: true, un dataset_load_id generado, y un trace_id.

CA 4: Integración obligatoria con Auditoría

Dado que el ms-ingestion procesó exitosamente la carga del dataset

Cuando el registro se confirma en la base de datos de ingesta

Entonces el sistema debe enviar un evento de tipo DATA_LOADED al microservicio ms-audit.

Y este evento debe contener el nombre del archivo original, el nombre del servicio origen (ms-ingestion) y el timestamp de la carga.

CA 5: Validación de integridad del contenido

Dado que el archivo subido tiene una extensión válida (.csv o .json)

Cuando el motor de ingesta detecta que el archivo tiene un tamaño de 0 bytes o carece de cabeceras (headers)

Entonces el proceso debe interrumpirse inmediatamente.

Y debe retornar un código HTTP 400 Bad Request indicando que el archivo está vacío o corrupto, sin generar registros huérfanos en la base de datos.";Como usuario, quiero cargar datasets estructurados, para iniciar el análisis territorial.;Samuel Rodriguez;Sprint 1;18/03/2026;8/04/2026
SCRUM-212;Tarea;SCRUM-121;Crear componente React básico para seleccionar y subir archivos CSV.;;"Objetivo: Crear la interfaz de usuario que permita arrastrar o seleccionar archivos estructurados y enviarlos al backend.

Detalles Técnicos: > - Implementar un input type=""file"" o dropzone que restrinja desde el navegador la selección a extensiones .csv y .json exclusivamente.

Consumir el endpoint POST del API Gateway.

Mostrar un estado de carga (loader) mientras el archivo se procesa.";Samuel Rodriguez;Sprint 1;18/03/2026;8/04/2026
SCRUM-213;Tarea;SCRUM-121;Implementar endpoint POST en ms-ingestion para recibir y almacenar dataset.;;"Objetivo: Recibir el payload (multipart/form-data) validando integridad física antes de procesar el contenido.

Detalles Técnicos: > - Rechazar inmediatamente archivos con tamaño 0 bytes o extensiones inválidas (.pdf, .xlsx) retornando HTTP 400.

El endpoint debe responder obligatoriamente con el esquema StandardResponse (incluyendo dataset_load_id, trace_id y success: true).";Samuel Rodriguez;Sprint 1;18/03/2026;8/04/2026
SCRUM-214;Tarea;SCRUM-121;Registrar metadatos (DatasetLoad) en base de datos para trazabilidad.;;"Objetivo: Asegurar la trazabilidad del archivo recibido guardando sus metadatos iniciales en la base de datos de ingesta.

Detalles Técnicos: > - Crear el modelo/entidad DatasetLoad.

Al recibir un archivo exitosamente, insertar un registro con estado PROCESSING.";Samuel Rodriguez;Sprint 1;18/03/2026;8/04/2026
SCRUM-215;Tarea;SCRUM-121;Integrar la llamada API pública para obtener datos;;"Descripción: > Objetivo: Notificar al microservicio de auditoría que un nuevo archivo ha sido recibido.

Detalles Técnicos: > - Enviar una petición HTTP POST al ms-audit con el evento DATA_LOADED.

El payload debe incluir: nombre del archivo, servicio origen (ms-ingestion) y timestamp.";Samuel Rodriguez;Sprint 1;18/03/2026;8/04/2026
SCRUM-122;**Epic**;;Validación de Datos;;;;;18/03/2026;8/04/2026
SCRUM-149;Historia;SCRUM-122;Validación integrada UI + API;"Criterios de Aceptación
CA 1: Validación estricta de cabeceras (Headers obligatorios)

Dado que el ms-ingestion comienza a procesar un archivo estructurado válido

Cuando lee la primera fila (cabeceras) del dataset

Entonces debe verificar la existencia de las columnas mínimas obligatorias definidas por el sistema (ej. zone_code, zone_name).

Y si falta al menos una cabecera obligatoria, el sistema debe abortar el proceso, marcar el estado del archivo como REJECTED en la base de datos y retornar un error HTTP 422 Unprocessable Entity detallando las columnas faltantes.

CA 2: Clasificación de registros (Fila por fila)

Dado que el dataset superó la validación de cabeceras

Cuando el sistema procesa el contenido del archivo

Entonces debe iterar sobre cada registro y clasificarlo de forma individual.

Y debe contabilizar el número total de filas en la variable record_count.

CA 3: Reglas de invalidación de registros (Datos críticos)

Dado que el sistema está evaluando una fila específica del dataset

Cuando la fila presenta un zone_code vacío/nulo, o un tipo de dato incompatible en una columna obligatoria (ej. texto en una columna que espera un valor numérico de población)

Entonces la fila debe ser descartada del análisis.

Y el sistema debe sumar +1 al contador invalid_record_count sin detener el procesamiento del resto del archivo.

CA 4: Actualización de estado y persistencia de métricas

Dado que el sistema ha finalizado la lectura completa del archivo

Cuando termina de procesar la última fila

Entonces debe actualizar el registro correspondiente en la tabla DatasetLoad de la base de datos.

Y debe guardar los valores finales de status (ej. VALIDATED), record_count, valid_record_count e invalid_record_count.

CA 5: Respuesta final de la validación

Dado que el proceso de validación finalizó y se persistieron los resultados

Cuando el microservicio emite su respuesta final

Entonces debe retornar un código HTTP 200 OK.

Y el cuerpo de la respuesta (StandardResponse) debe incluir en su nodo data el resumen estadístico de la carga (total de registros, válidos, inválidos y el estado final del dataset).";Como sistema, quiero validar la estructura interna del dataset cargado, para asegurar la consistencia de la información antes del análisis.;Brandon Yesith Ortiz Arenales;Sprint 1;18/03/2026;8/04/2026
SCRUM-216;Tarea;SCRUM-122;Validación automática de formato y estructura.;;"Objetivo: Leer la primera fila del dataset y abortar si la estructura no cumple con el esquema mínimo de negocio.

Detalles Técnicos: > - Si faltan columnas obligatorias (ej. zone_code, zone_name), detener la ejecución.

Marcar el registro en la BD como REJECTED.

Retornar HTTP 422 indicando exactamente qué columnas faltaron.";Brandon Yesith Ortiz Arenales;Sprint 1;18/03/2026;8/04/2026
SCRUM-218;Tarea;SCRUM-122;Evitar carga de datos con errores estructurales.;;"Objetivo: Procesar el archivo iterando cada fila para clasificar datos limpios vs errores estructurales sin detener el archivo completo.

Detalles Técnicos: > - Mantener contadores en memoria: record_count, valid_record_count, invalid_record_count.

Si una fila tiene un campo clave vacío (ej. zone_code), descartarla y sumar +1 a invalid_record_count.

Al finalizar, actualizar la tabla DatasetLoad con el estado final (ej. VALIDATED) y las métricas calculadas. Retornar HTTP 200 con el resumen.";Brandon Yesith Ortiz Arenales;Sprint 1;18/03/2026;8/04/2026
